员工号,航段次序,航班号,出发日期,出发时间,出发机场,到达日期,到达时间,到达机场,实际资格
B0052,21,8353,FB258,8/4/2019,0.628472222,FBX,8/4/2019,0.704861111,F
B0004,22,10146,FB4876,8/4/2019,0.711805556,XBT,8/4/2019,0.743055556,C
B0052,22,10146,FB4876,8/4/2019,0.711805556,XBT,8/4/2019,0.743055556,F
B0004,23,12620,FB540,8/4/2019,0.815972222,OAX,8/4/2019,0.871527778,C
B0052,23,12620,FB540,8/4/2019,0.815972222,OAX,8/4/2019,0.871527778,F
B0004,24,167,FB411,8/5/2019,0.267361111,TGD,8/5/2019,0.315972222,C
B0052,24,167,FB411,8/5/2019,0.267361111,TGD,8/5/2019,0.315972222,F
B0004,25,1987,FB731,8/5/2019,0.336805556,HOM,8/5/2019,0.388888889,C
B0052,25,1987,FB731,8/5/2019,0.336805556,HOM,8/5/2019,0.388888889,F
B0004,26,4023,FB248,8/5/2019,0.423611111,FBX,8/5/2019,0.496527778,C
B0052,26,4023,FB248,8/5/2019,0.423611111,FBX,8/5/2019,0.496527778,F
B0004,27,7848,FB66,8/5/2019,0.604166667,NOU,8/5/2019,0.670138889,C
B0052,27,7848,FB66,8/5/2019,0.604166667,NOU,8/5/2019,0.670138889,F
B0004,28,9661,FB2177,8/5/2019,0.694444444,TGD,8/5/2019,0.75,C
B0052,28,9661,FB2177,8/5/2019,0.694444444,TGD,8/5/2019,0.75,F
B0004,29,11747,FB670,8/5/2019,0.78125,GKU,8/5/2019,0.861111111,C
B0052,29,11747,FB670,8/5/2019,0.78125,GKU,8/5/2019,0.861111111,F
B0004,30,13651,FB416,8/5/2019,0.871527778,HOM,8/5/2019,0.930555556,C
B0052,30,13651,FB416,8/5/2019,0.871527778,HOM,8/5/2019,0.930555556,F
B0004,31,13926,FB999,8/5/2019,0.954861111,TGD,8/6/2019,0.0659722222,C
B0052,31,13926,FB999,8/5/2019,0.954861111,TGD,8/6/2019,0.0659722222,F
B0004,32,51,FB1000,8/6/2019,0.149305556,SXA,8/6/2019,0.246527778,C
B0052,32,51,FB1000,8/6/2019,0.149305556,SXA,8/6/2019,0.246527778,F
B0004,33,1436,FB692,8/6/2019,0.319444444,BCJ,8/6/2019,0.388888889,C
B0052,33,1436,FB692,8/6/2019,0.319444444,BCJ,8/6/2019,0.388888889,F
B0004,34,3564,FB703,8/6/2019,0.40625,GKS,8/6/2019,0.479166667,C
B0052,34,3564,FB703,8/6/2019,0.40625,GKS,8/6/2019,0.479166667,F
B0004,35,5563,FB590,8/6/2019,0.493055556,MYJ,8/6/2019,0.555555556,C
B0052,35,5563,FB590,8/6/2019,0.493055556,MYJ,8/6/2019,0.555555556,F
B0004,36,8646,FB68,8/6/2019,0.645833333,NOU,8/6/2019,0.711805556,C
B0052,36,8646,FB68,8/6/2019,0.645833333,NOU,8/6/2019,0.711805556,F
B0004,37,12075,FB38,8/6/2019,0.791666667,HOM,8/6/2019,0.84375,C
B0052,37,12075,FB38,8/6/2019,0.791666667,HOM,8/6/2019,0.84375,F
B0004,38,1437,FB492,8/7/2019,0.319444444,GKS,8/7/2019,0.371527778,C
B0052,38,1437,FB492,8/7/2019,0.319444444,GKS,8/7/2019,0.371527778,F
B0004,39,3964,FB643,8/7/2019,0.416666667,TGD,8/7/2019,0.486111111,C
B0052,39,3964,FB643,8/7/2019,0.416666667,TGD,8/7/2019,0.486111111,F
B0004,40,6310,FB62,8/7/2019,0.520833333,NOU,8/7/2019,0.586805556,C
B0052,40,6310,FB62,8/7/2019,0.520833333,NOU,8/7/2019,0.586805556,F
B0004,41,8004,FB592,8/7/2019,0.611111111,MYJ,8/7/2019,0.673611111,C
B0052,41,8004,FB592,8/7/2019,0.611111111,MYJ,8/7/2019,0.673611111,F
B0004,42,10340,FB427,8/7/2019,0.722222222,HOM,8/7/2019,0.774305556,C
B0052,42,10340,FB427,8/7/2019,0.722222222,HOM,8/7/2019,0.774305556,F
B0004,43,12864,FB558,8/7/2019,0.822916667,TXD,8/7/2019,0.881944444,C
B0052,43,12864,FB558,8/7/2019,0.822916667,TXD,8/7/2019,0.881944444,F
B0004,44,703,FB583,8/8/2019,0.298611111,TGD,8/8/2019,0.357638889,C
B0052,44,703,FB583,8/8/2019,0.298611111,TGD,8/8/2019,0.357638889,F
B0004,45,2647,FB281,8/8/2019,0.368055556,TGD,8/8/2019,0.420138889,C
B0052,45,2647,FB281,8/8/2019,0.368055556,TGD,8/8/2019,0.420138889,F
B0004,46,4406,FB1734,8/8/2019,0.444444444,SXA,8/8/2019,0.53125,C
B0052,46,4406,FB1734,8/8/2019,0.444444444,SXA,8/8/2019,0.53125,F
B0004,47,6363,FB555,8/8/2019,0.520833333,TGD,8/8/2019,0.576388889,C
B0052,47,6363,FB555,8/8/2019,0.520833333,TGD,8/8/2019,0.576388889,F
B0004,48,8290,FB1102,8/8/2019,0.625,OOJ,8/8/2019,0.677083333,C
B0052,48,8290,FB1102,8/8/2019,0.625,OOJ,8/8/2019,0.677083333,F
B0004,49,10674,FB1104,8/8/2019,0.736111111,HWJ,8/8/2019,0.805555556,C
B0052,49,10674,FB1104,8/8/2019,0.736111111,HWJ,8/8/2019,0.805555556,F
B0004,50,6168,FB252,8/9/2019,0.513888889,FBX,8/9/2019,0.590277778,C
B0052,50,6168,FB252,8/9/2019,0.513888889,FBX,8/9/2019,0.590277778,F
B0004,51,7766,FB1174,8/9/2019,0.597222222,NOU,8/9/2019,0.663194444,C
B0052,51,7766,FB1174,8/9/2019,0.597222222,NOU,8/9/2019,0.663194444,F
B0004,52,10914,FB2159,8/9/2019,0.746527778,TGD,8/9/2019,0.861111111,C
B0052,52,10914,FB2159,8/9/2019,0.746527778,TGD,8/9/2019,0.861111111,F
B0004,53,1403,FB601,8/10/2019,0.315972222,TGD,8/10/2019,0.385416667,C
B0052,53,1403,FB601,8/10/2019,0.315972222,TGD,8/10/2019,0.385416667,F
B0004,54,3474,FB585,8/10/2019,0.402777778,TGD,8/10/2019,0.461805556,C
B0052,54,3474,FB585,8/10/2019,0.402777778,TGD,8/10/2019,0.461805556,F
B0004,55,5457,FB1748,8/10/2019,0.489583333,HUK,8/10/2019,0.59375,C
B0052,55,5457,FB1748,8/10/2019,0.489583333,HUK,8/10/2019,0.59375,F
B0004,56,7945,FB1141,8/10/2019,0.611111111,HOM,8/10/2019,0.690972222,C
B0052,56,7945,FB1141,8/10/2019,0.611111111,HOM,8/10/2019,0.690972222,F
B0004,57,10629,FB264,8/10/2019,0.732638889,FBX,8/10/2019,0.809027778,C
B0052,57,10629,FB264,8/10/2019,0.732638889,FBX,8/10/2019,0.809027778,F
B0004,58,12685,FB687,8/10/2019,0.815972222,TGD,8/10/2019,0.875,C
B0052,58,12685,FB687,8/10/2019,0.815972222,TGD,8/10/2019,0.875,F
B0004,59,923,FB651,8/11/2019,0.309027778,TGD,8/11/2019,0.361111111,C
B0052,59,923,FB651,8/11/2019,0.309027778,TGD,8/11/2019,0.361111111,F
B0004,60,3475,FB585,8/11/2019,0.402777778,TGD,8/11/2019,0.461805556,C
B0052,60,3475,FB585,8/11/2019,0.402777778,TGD,8/11/2019,0.461805556,F
B0004,61,5459,FB1748,8/11/2019,0.489583333,HUK,8/11/2019,0.59375,C
B0052,61,5459,FB1748,8/11/2019,0.489583333,HUK,8/11/2019,0.59375,F
B0004,62,7946,FB1141,8/11/2019,0.611111111,HOM,8/11/2019,0.690972222,C
B0052,62,7946,FB1141,8/11/2019,0.611111111,HOM,8/11/2019,0.690972222,F
B0004,63,10630,FB264,8/11/2019,0.732638889,FBX,8/11/2019,0.809027778,C
B0052,63,10630,FB264,8/11/2019,0.732638889,FBX,8/11/2019,0.809027778,F
B0004,64,12686,FB687,8/11/2019,0.815972222,TGD,8/11/2019,0.875,C
B0052,64,12686,FB687,8/11/2019,0.815972222,TGD,8/11/2019,0.875,F
B0004,65,924,FB651,8/12/2019,0.309027778,TGD,8/12/2019,0.361111111,C
B0052,65,924,FB651,8/12/2019,0.309027778,TGD,8/12/2019,0.361111111,F
B0004,66,3445,FB383,8/12/2019,0.399305556,TGD,8/12/2019,0.454861111,C
B0052,66,3445,FB383,8/12/2019,0.399305556,TGD,8/12/2019,0.454861111,F
B0004,67,5538,FB1142,8/12/2019,0.493055556,NOU,8/12/2019,0.569444444,C
B0052,67,5538,FB1142,8/12/2019,0.493055556,NOU,8/12/2019,0.569444444,F
B0004,68,7262,FB625,8/12/2019,0.579861111,TGD,8/12/2019,0.649305556,C
B0052,68,7262,FB625,8/12/2019,0.579861111,TGD,8/12/2019,0.649305556,F
B0004,69,8940,FB477,8/12/2019,0.65625,TGD,8/12/2019,0.756944444,C
B0052,69,8940,FB477,8/12/2019,0.65625,TGD,8/12/2019,0.756944444,F
B0004,70,10686,FB1104,8/12/2019,0.736111111,HWJ,8/12/2019,0.805555556,C
B0052,70,10686,FB1104,8/12/2019,0.736111111,HWJ,8/12/2019,0.805555556,F
B0004,71,12872,FB322,8/12/2019,0.822916667,OSY,8/12/2019,0.868055556,C
B0052,71,12872,FB322,8/12/2019,0.822916667,OSY,8/12/2019,0.868055556,F
B0004,72,183,FB411,8/13/2019,0.267361111,TGD,8/13/2019,0.315972222,C
B0052,72,183,FB411,8/13/2019,0.267361111,TGD,8/13/2019,0.315972222,F
B0004,73,2018,FB561,8/13/2019,0.336805556,TGD,8/13/2019,0.395833333,C
B0052,73,2018,FB561,8/13/2019,0.336805556,TGD,8/13/2019,0.395833333,F
B0004,74,3970,FB643,8/13/2019,0.416666667,TGD,8/13/2019,0.486111111,C
B0052,74,3970,FB643,8/13/2019,0.416666667,TGD,8/13/2019,0.486111111,F
B0004,75,6322,FB62,8/13/2019,0.520833333,NOU,8/13/2019,0.586805556,C
B0052,75,6322,FB62,8/13/2019,0.520833333,NOU,8/13/2019,0.586805556,F
B0004,76,8034,FB385,8/13/2019,0.614583333,TGD,8/13/2019,0.670138889,C
B0052,76,8034,FB385,8/13/2019,0.614583333,TGD,8/13/2019,0.670138889,F
B0004,77,10346,FB427,8/13/2019,0.722222222,HOM,8/13/2019,0.774305556,C
B0052,77,10346,FB427,8/13/2019,0.722222222,HOM,8/13/2019,0.774305556,F
B0004,78,12875,FB558,8/13/2019,0.822916667,TXD,8/13/2019,0.881944444,C
B0052,78,12875,FB558,8/13/2019,0.822916667,TXD,8/13/2019,0.881944444,F
B0004,79,709,FB583,8/14/2019,0.298611111,TGD,8/14/2019,0.357638889,C
B0052,79,709,FB583,8/14/2019,0.298611111,TGD,8/14/2019,0.357638889,F
B0004,80,2605,FB384,8/14/2019,0.364583333,YKJ,8/14/2019,0.420138889,C
B0052,80,2605,FB384,8/14/2019,0.364583333,YKJ,8/14/2019,0.420138889,F
B0004,81,4412,FB1734,8/14/2019,0.444444444,SXA,8/14/2019,0.53125,C
B0052,81,4412,FB1734,8/14/2019,0.444444444,SXA,8/14/2019,0.53125,F
B0004,82,6325,FB796,8/14/2019,0.520833333,SHO,8/14/2019,0.586805556,C
B0052,82,6325,FB796,8/14/2019,0.520833333,SHO,8/14/2019,0.586805556,F
B0004,83,12876,FB322,8/14/2019,0.822916667,OSY,8/14/2019,0.868055556,C
B0052,83,12876,FB322,8/14/2019,0.822916667,OSY,8/14/2019,0.868055556,F
B0004,84,111,FB89,8/15/2019,0.256944444,TGD,8/15/2019,0.375,C
B0052,84,111,FB89,8/15/2019,0.256944444,TGD,8/15/2019,0.375,F
B0004,85,2889,FB18,8/15/2019,0.375,HOM,8/15/2019,0.423611111,C
B0052,85,2889,FB18,8/15/2019,0.375,HOM,8/15/2019,0.423611111,F
B0004,86,5145,FB624,8/15/2019,0.475694444,XSJ,8/15/2019,0.548611111,C
B0052,86,5145,FB624,8/15/2019,0.475694444,XSJ,8/15/2019,0.548611111,F
B0004,87,7184,FB666,8/15/2019,0.569444444,GKU,8/15/2019,0.645833333,C
B0052,87,7184,FB666,8/15/2019,0.569444444,GKU,8/15/2019,0.645833333,F
B0004,88,9253,FB998,8/15/2019,0.670138889,OAX,8/15/2019,0.725694444,C
B0052,88,9253,FB998,8/15/2019,0.670138889,OAX,8/15/2019,0.725694444,F
B0004,89,13935,FB999,8/15/2019,0.954861111,TGD,8/16/2019,0.0659722222,C
B0052,89,13935,FB999,8/15/2019,0.954861111,TGD,8/16/2019,0.0659722222,F
B0004,90,85,FB8558,8/16/2019,0.201388889,SXA,8/16/2019,0.291666667,C
B0052,90,85,FB8558,8/16/2019,0.201388889,SXA,8/16/2019,0.291666667,F
B0004,91,5468,FB1606,8/16/2019,0.489583333,XNZ,8/16/2019,0.520833333,C
B0052,91,5468,FB1606,8/16/2019,0.489583333,XNZ,8/16/2019,0.520833333,F
B0005,1,586,FB412,8/1/2019,0.295138889,HOM,8/1/2019,0.347222222,C
B0053,1,586,FB412,8/1/2019,0.295138889,HOM,8/1/2019,0.347222222,F
B0005,2,2661,FB747,8/1/2019,0.371527778,TGD,8/1/2019,0.409722222,C
B0053,2,2661,FB747,8/1/2019,0.371527778,TGD,8/1/2019,0.409722222,F
B0005,3,4709,FB462,8/1/2019,0.454861111,SXA,8/1/2019,0.5625,C
B0053,3,4709,FB462,8/1/2019,0.454861111,SXA,8/1/2019,0.5625,F
B0005,4,6506,FB398,8/1/2019,0.534722222,UYS,8/1/2019,0.579861111,C
B0053,4,6506,FB398,8/1/2019,0.534722222,UYS,8/1/2019,0.579861111,F
B0005,5,9405,FB658,8/1/2019,0.677083333,SXJ,8/1/2019,0.732638889,C
B0053,5,9405,FB658,8/1/2019,0.677083333,SXJ,8/1/2019,0.732638889,F
B0005,6,12676,FB687,8/1/2019,0.815972222,TGD,8/1/2019,0.875,C
B0053,6,12676,FB687,8/1/2019,0.815972222,TGD,8/1/2019,0.875,F
B0005,7,914,FB651,8/2/2019,0.309027778,TGD,8/2/2019,0.361111111,C
B0053,7,914,FB651,8/2/2019,0.309027778,TGD,8/2/2019,0.361111111,F
B0005,8,3435,FB383,8/2/2019,0.399305556,TGD,8/2/2019,0.454861111,C
B0053,8,3435,FB383,8/2/2019,0.399305556,TGD,8/2/2019,0.454861111,F
B0005,9,5528,FB1142,8/2/2019,0.493055556,NOU,8/2/2019,0.569444444,C
B0053,9,5528,FB1142,8/2/2019,0.493055556,NOU,8/2/2019,0.569444444,F
B0005,10,7252,FB625,8/2/2019,0.579861111,TGD,8/2/2019,0.649305556,C
B0053,10,7252,FB625,8/2/2019,0.579861111,TGD,8/2/2019,0.649305556,F
B0005,11,8839,FB261,8/2/2019,0.65625,TGD,8/2/2019,0.732638889,C
B0053,11,8839,FB261,8/2/2019,0.65625,TGD,8/2/2019,0.732638889,F
B0005,12,11374,FB685,8/2/2019,0.760416667,TGD,8/2/2019,0.819444444,C
B0053,12,11374,FB685,8/2/2019,0.760416667,TGD,8/2/2019,0.819444444,F
B0005,13,13607,FB478,8/2/2019,0.868055556,SXA,8/2/2019,0.96875,C
B0053,13,13607,FB478,8/2/2019,0.868055556,SXA,8/2/2019,0.96875,F
B0005,14,76,FB8558,8/3/2019,0.201388889,SXA,8/3/2019,0.291666667,C
B0053,14,76,FB8558,8/3/2019,0.201388889,SXA,8/3/2019,0.291666667,F
B0005,15,5442,FB1606,8/3/2019,0.489583333,XNZ,8/3/2019,0.520833333,C
B0053,15,5442,FB1606,8/3/2019,0.489583333,XNZ,8/3/2019,0.520833333,F
B0005,16,8238,FB69,8/3/2019,0.625,TGD,8/3/2019,0.6875,C
B0053,16,8238,FB69,8/3/2019,0.625,TGD,8/3/2019,0.6875,F
B0005,17,9882,FB388,8/3/2019,0.704861111,YKJ,8/3/2019,0.767361111,C
B0053,17,9882,FB388,8/3/2019,0.704861111,YKJ,8/3/2019,0.767361111,F
B0005,18,12709,FB599,8/3/2019,0.819444444,TGD,8/3/2019,0.878472222,C
B0053,18,12709,FB599,8/3/2019,0.819444444,TGD,8/3/2019,0.878472222,F
B0005,19,13900,FB988,8/3/2019,0.909722222,NOU,8/3/2019,0.979166667,C
B0053,19,13900,FB988,8/3/2019,0.909722222,NOU,8/3/2019,0.979166667,F
B0005,20,13925,FB999,8/3/2019,0.954861111,TGD,8/4/2019,0.0659722222,C
B0053,20,13925,FB999,8/3/2019,0.954861111,TGD,8/4/2019,0.0659722222,F
B0005,21,166,FB985,8/4/2019,0.267361111,TGD,8/4/2019,0.3125,C
B0053,21,166,FB985,8/4/2019,0.267361111,TGD,8/4/2019,0.3125,F
B0005,22,2554,FB1203,8/4/2019,0.364583333,FBX,8/4/2019,0.4375,C
B0053,22,2554,FB1203,8/4/2019,0.364583333,FBX,8/4/2019,0.4375,F
B0005,23,4433,FB748,8/4/2019,0.444444444,GOQ,8/4/2019,0.489583333,C
B0053,23,4433,FB748,8/4/2019,0.444444444,GOQ,8/4/2019,0.489583333,F
B0005,24,10660,FB538,8/4/2019,0.736111111,OAX,8/4/2019,0.791666667,C
B0053,24,10660,FB538,8/4/2019,0.736111111,OAX,8/4/2019,0.791666667,F
B0005,25,12907,FB321,8/4/2019,0.829861111,TGD,8/4/2019,0.868055556,C
B0053,25,12907,FB321,8/4/2019,0.829861111,TGD,8/4/2019,0.868055556,F
B0005,26,1080,FB14,8/5/2019,0.3125,HOM,8/5/2019,0.364583333,C
B0053,26,1080,FB14,8/5/2019,0.3125,HOM,8/5/2019,0.364583333,F
B0005,27,3594,FB534,8/5/2019,0.40625,OAX,8/5/2019,0.461805556,C
B0053,27,3594,FB534,8/5/2019,0.40625,OAX,8/5/2019,0.461805556,F
B0005,28,6155,FB90,8/5/2019,0.513888889,HUK,8/5/2019,0.635416667,C
B0053,28,6155,FB90,8/5/2019,0.513888889,HUK,8/5/2019,0.635416667,F
B0005,29,8044,FB645,8/5/2019,0.618055556,TGD,8/5/2019,0.6875,C
B0053,29,8044,FB645,8/5/2019,0.618055556,TGD,8/5/2019,0.6875,F
B0005,30,10002,FB72,8/5/2019,0.708333333,NOU,8/5/2019,0.774305556,C
B0053,30,10002,FB72,8/5/2019,0.708333333,NOU,8/5/2019,0.774305556,F
B0005,31,12074,FB38,8/5/2019,0.791666667,HOM,8/5/2019,0.84375,C
B0053,31,12074,FB38,8/5/2019,0.791666667,HOM,8/5/2019,0.84375,F
B0005,32,1435,FB492,8/6/2019,0.319444444,GKS,8/6/2019,0.371527778,C
B0053,32,1435,FB492,8/6/2019,0.319444444,GKS,8/6/2019,0.371527778,F
B0005,33,3963,FB643,8/6/2019,0.416666667,TGD,8/6/2019,0.486111111,C
B0053,33,3963,FB643,8/6/2019,0.416666667,TGD,8/6/2019,0.486111111,F
B0005,34,6308,FB62,8/6/2019,0.520833333,NOU,8/6/2019,0.586805556,C
B0053,34,6308,FB62,8/6/2019,0.520833333,NOU,8/6/2019,0.586805556,F
B0005,35,8003,FB592,8/6/2019,0.611111111,MYJ,8/6/2019,0.673611111,C
B0053,35,8003,FB592,8/6/2019,0.611111111,MYJ,8/6/2019,0.673611111,F
B0005,36,10339,FB427,8/6/2019,0.722222222,HOM,8/6/2019,0.774305556,C
B0053,36,10339,FB427,8/6/2019,0.722222222,HOM,8/6/2019,0.774305556,F
B0005,37,12863,FB558,8/6/2019,0.822916667,TXD,8/6/2019,0.881944444,C
B0053,37,12863,FB558,8/6/2019,0.822916667,TXD,8/6/2019,0.881944444,F
B0005,38,702,FB583,8/7/2019,0.298611111,TGD,8/7/2019,0.357638889,C
B0053,38,702,FB583,8/7/2019,0.298611111,TGD,8/7/2019,0.357638889,F
B0005,39,2646,FB281,8/7/2019,0.368055556,TGD,8/7/2019,0.420138889,C
B0053,39,2646,FB281,8/7/2019,0.368055556,TGD,8/7/2019,0.420138889,F
B0005,40,4405,FB1734,8/7/2019,0.444444444,SXA,8/7/2019,0.53125,C
B0053,40,4405,FB1734,8/7/2019,0.444444444,SXA,8/7/2019,0.53125,F
B0005,41,6311,FB796,8/7/2019,0.520833333,SHO,8/7/2019,0.586805556,C
B0053,41,6311,FB796,8/7/2019,0.520833333,SHO,8/7/2019,0.586805556,F
B0005,42,8287,FB1102,8/7/2019,0.625,OOJ,8/7/2019,0.677083333,C
B0053,42,8287,FB1102,8/7/2019,0.625,OOJ,8/7/2019,0.677083333,F
B0005,43,10671,FB1104,8/7/2019,0.736111111,HWJ,8/7/2019,0.805555556,C
B0053,43,10671,FB1104,8/7/2019,0.736111111,HWJ,8/7/2019,0.805555556,F
B0005,44,12833,FB273,8/7/2019,0.822916667,TGD,8/7/2019,0.902777778,C
B0053,44,12833,FB273,8/7/2019,0.822916667,TGD,8/7/2019,0.902777778,F
B0005,45,79,FB8558,8/8/2019,0.201388889,SXA,8/8/2019,0.291666667,C
B0053,45,79,FB8558,8/8/2019,0.201388889,SXA,8/8/2019,0.291666667,F
B0005,46,5452,FB1606,8/8/2019,0.489583333,XNZ,8/8/2019,0.520833333,C
B0053,46,5452,FB1606,8/8/2019,0.489583333,XNZ,8/8/2019,0.520833333,F
B0005,47,8243,FB69,8/8/2019,0.625,TGD,8/8/2019,0.6875,C
B0053,47,8243,FB69,8/8/2019,0.625,TGD,8/8/2019,0.6875,F
B0005,48,9887,FB388,8/8/2019,0.704861111,YKJ,8/8/2019,0.767361111,C
B0053,48,9887,FB388,8/8/2019,0.704861111,YKJ,8/8/2019,0.767361111,F
B0005,49,12714,FB599,8/8/2019,0.819444444,TGD,8/8/2019,0.878472222,C
B0053,49,12714,FB599,8/8/2019,0.819444444,TGD,8/8/2019,0.878472222,F
B0005,50,13905,FB988,8/8/2019,0.909722222,NOU,8/8/2019,0.979166667,C
B0053,50,13905,FB988,8/8/2019,0.909722222,NOU,8/8/2019,0.979166667,F
B0005,51,30,FB8567,8/9/2019,0.0243055556,XXJ,8/9/2019,0.100694444,C
B0053,51,30,FB8567,8/9/2019,0.0243055556,XXJ,8/9/2019,0.100694444,F
B0005,52,227,FB8560,8/9/2019,0.274305556,SXA,8/9/2019,0.354166667,C
B0053,52,227,FB8560,8/9/2019,0.274305556,SXA,8/9/2019,0.354166667,F
B0005,53,2559,FB1203,8/9/2019,0.364583333,FBX,8/9/2019,0.4375,C
B0053,53,2559,FB1203,8/9/2019,0.364583333,FBX,8/9/2019,0.4375,F
B0005,54,4438,FB748,8/9/2019,0.444444444,GOQ,8/9/2019,0.489583333,C
B0053,54,4438,FB748,8/9/2019,0.444444444,GOQ,8/9/2019,0.489583333,F
B0005,55,10675,FB538,8/9/2019,0.736111111,OAX,8/9/2019,0.791666667,C
B0053,55,10675,FB538,8/9/2019,0.736111111,OAX,8/9/2019,0.791666667,F
B0005,56,12936,FB511,8/9/2019,0.829861111,HOM,8/9/2019,0.875,C
B0053,56,12936,FB511,8/9/2019,0.829861111,HOM,8/9/2019,0.875,F
B0005,57,1095,FB14,8/10/2019,0.3125,HOM,8/10/2019,0.364583333,C
B0053,57,1095,FB14,8/10/2019,0.3125,HOM,8/10/2019,0.364583333,F
B0005,58,3599,FB534,8/10/2019,0.40625,OAX,8/10/2019,0.461805556,C
B0053,58,3599,FB534,8/10/2019,0.40625,OAX,8/10/2019,0.461805556,F
B0005,59,6170,FB90,8/10/2019,0.513888889,HUK,8/10/2019,0.635416667,C
B0053,59,6170,FB90,8/10/2019,0.513888889,HUK,8/10/2019,0.635416667,F
B0005,60,8049,FB645,8/10/2019,0.618055556,TGD,8/10/2019,0.6875,C
B0053,60,8049,FB645,8/10/2019,0.618055556,TGD,8/10/2019,0.6875,F
B0005,61,9737,FB388,8/10/2019,0.697916667,YKJ,8/10/2019,0.760416667,C
B0053,61,9737,FB388,8/10/2019,0.697916667,YKJ,8/10/2019,0.760416667,F
B0005,62,11797,FB1272,8/10/2019,0.784722222,NOU,8/10/2019,0.868055556,C
B0053,62,11797,FB1272,8/10/2019,0.784722222,NOU,8/10/2019,0.868055556,F
B0005,63,1100,FB402,8/11/2019,0.3125,AXO,8/11/2019,0.357638889,C
B0053,63,1100,FB402,8/11/2019,0.3125,AXO,8/11/2019,0.357638889,F
B0005,64,3727,FB604,8/11/2019,0.413194444,XMH,8/11/2019,0.482638889,C
B0053,64,3727,FB604,8/11/2019,0.413194444,XMH,8/11/2019,0.482638889,F
B0005,65,5633,FB775,8/11/2019,0.496527778,HOM,8/11/2019,0.576388889,C
B0053,65,5633,FB775,8/11/2019,0.496527778,HOM,8/11/2019,0.576388889,F
B0005,66,8737,FB88,8/11/2019,0.649305556,MMY,8/11/2019,0.767361111,C
B0053,66,8737,FB88,8/11/2019,0.649305556,MMY,8/11/2019,0.767361111,F
B0005,67,12283,FB630,8/11/2019,0.802083333,XSJ,8/11/2019,0.878472222,C
B0053,67,12283,FB630,8/11/2019,0.802083333,XSJ,8/11/2019,0.878472222,F
B0005,68,108,FB89,8/12/2019,0.256944444,TGD,8/12/2019,0.375,C
B0053,68,108,FB89,8/12/2019,0.256944444,TGD,8/12/2019,0.375,F
B0005,69,2880,FB18,8/12/2019,0.375,HOM,8/12/2019,0.423611111,C
B0053,69,2880,FB18,8/12/2019,0.375,HOM,8/12/2019,0.423611111,F
B0005,70,5142,FB624,8/12/2019,0.475694444,XSJ,8/12/2019,0.548611111,C
B0053,70,5142,FB624,8/12/2019,0.475694444,XSJ,8/12/2019,0.548611111,F
B0005,71,7178,FB666,8/12/2019,0.569444444,GKU,8/12/2019,0.645833333,C
B0053,71,7178,FB666,8/12/2019,0.569444444,GKU,8/12/2019,0.645833333,F
B0005,72,9217,FB320,8/12/2019,0.666666667,OSY,8/12/2019,0.715277778,C
B0053,72,9217,FB320,8/12/2019,0.666666667,OSY,8/12/2019,0.715277778,F
B0005,73,13932,FB999,8/12/2019,0.954861111,TGD,8/13/2019,0.0659722222,C
B0053,73,13932,FB999,8/12/2019,0.954861111,TGD,8/13/2019,0.0659722222,F
B0005,74,109,FB89,8/13/2019,0.256944444,TGD,8/13/2019,0.375,C
B0053,74,109,FB89,8/13/2019,0.256944444,TGD,8/13/2019,0.375,F
B0005,75,2883,FB18,8/13/2019,0.375,HOM,8/13/2019,0.423611111,C
B0053,75,2883,FB18,8/13/2019,0.375,HOM,8/13/2019,0.423611111,F
B0005,76,5143,FB624,8/13/2019,0.475694444,XSJ,8/13/2019,0.548611111,C
B0053,76,5143,FB624,8/13/2019,0.475694444,XSJ,8/13/2019,0.548611111,F
B0005,77,7180,FB666,8/13/2019,0.569444444,GKU,8/13/2019,0.645833333,C
B0053,77,7180,FB666,8/13/2019,0.569444444,GKU,8/13/2019,0.645833333,F
B0005,78,9218,FB320,8/13/2019,0.666666667,OSY,8/13/2019,0.715277778,C
B0053,78,9218,FB320,8/13/2019,0.666666667,OSY,8/13/2019,0.715277778,F
B0005,79,13933,FB999,8/13/2019,0.954861111,TGD,8/14/2019,0.0659722222,C
B0053,79,13933,FB999,8/13/2019,0.954861111,TGD,8/14/2019,0.0659722222,F
B0005,80,110,FB89,8/14/2019,0.256944444,TGD,8/14/2019,0.375,C
B0053,80,110,FB89,8/14/2019,0.256944444,TGD,8/14/2019,0.375,F
B0005,81,2886,FB18,8/14/2019,0.375,HOM,8/14/2019,0.423611111,C
B0053,81,2886,FB18,8/14/2019,0.375,HOM,8/14/2019,0.423611111,F
B0005,82,5144,FB624,8/14/2019,0.475694444,XSJ,8/14/2019,0.548611111,C
B0053,82,5144,FB624,8/14/2019,0.475694444,XSJ,8/14/2019,0.548611111,F
B0005,83,7182,FB666,8/14/2019,0.569444444,GKU,8/14/2019,0.645833333,C
B0053,83,7182,FB666,8/14/2019,0.569444444,GKU,8/14/2019,0.645833333,F
B0005,84,9219,FB320,8/14/2019,0.666666667,OSY,8/14/2019,0.715277778,C
B0053,84,9219,FB320,8/14/2019,0.666666667,OSY,8/14/2019,0.715277778,F
B0005,85,13934,FB999,8/14/2019,0.954861111,TGD,8/15/2019,0.0659722222,C
